University Library (OV),Redwood Hall (RE),University Student Union (USU),Campus Store Complex (CSC),Jacaranda Hall (JD),Sierra Hall (SH),Parking Lot B1 (PL:B1),Parking Lot and Structure B3 (PLPS:B3),Parking Lot B4 (PL:B4),Parking Lot and Structure B5 (PLPS:B5),Parking Lot B6 (PL:B6),Parking Lots C6 and D6 (PL:C6D6),Parking Lot F5 (PL:F5),Parking Structure G3 (PS:G3),Parking Structure G6 (PS:G6)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.56,9.02,1.24,3.62,10.41,1.8,29.7468203,25.727332,14.1298203,34.042043,12.5067246,11.1804893,9.86704199,14.0115234,24.9080488
19.63,25.55,2.39,8.13,30.13,3.45,172.705469,172.627938,80.5794844,205.737875,94.4225156,67.1319922,81.2597578,98.0044063,139.765844
28.12,37.04,3.68,10.46,42.82,3.9,320.770188,416.75,171.062641,379.628813,231.532391,133.047563,183.64875,209.611906,262.314688
38.03,46.18,4.59,13.8,53.91,8.34,255.375016,392.268938,153.227094,309.167125,211.153156,109.12007,166.438984,185.067828,215.258219
283.74,436.58,67.9,155.2,381.57,97,362.821719,556.686188,223.480906,439.141094,300.540063,155.790203,236.171688,262.244594,305.855344
283.88,435.28,67.9,155.2,385.43,97,344.139813,542.009063,209.889922,418.98875,294.285781,149.589172,231.909703,255.048609,291.535719
38.1,44.5,4.99,15,53.98,8.37,212.775797,352.199469,129.23068,261.330781,191.195047,92.6093984,150.954094,165.327297,184.10525
29.75,35.14,4.12,11.41,41.67,4.15,218.368344,363.558813,129.325297,272.354438,193.344047,94.2723594,148.935016,171.819938,191.560563
20.05,25.09,3.32,8.51,29.99,3.74,148.285094,266.466531,86.0611094,197.655734,134.028891,67.0150859,97.3926406,128.321016,140.182297
6.7,9.19,1.44,2.85,9.85,1.79,17.3311816,43.3885195,12.4181035,28.3424922,18.2084414,9.01971387,14.049875,20.379582,20.7087539
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.72,9.2,1.25,3.72,10.63,1.81,31.5001855,26.6125078,14.462248,36.0234102,12.8898389,11.8436133,10.158876,14.6587969,26.5118535
19.84,25.41,2.23,7.99,30.18,3.22,181.346219,178.884922,82.9084688,215.571609,97.5517188,70.3471641,84.4263516,102.259859,146.136031
29.49,38.85,3.87,10.99,44.92,4.12,322.951625,396.567406,166.269078,380.245625,222.971516,132.204188,178.285813,203.138359,260.889266
38.64,46.01,4.42,13.6,54,8.11,418.167594,591.561625,243.805328,501.854344,318.204875,174.844719,251.048813,281.166813,344.824938
291,453.35,67.9,155.2,391.67,97,473.446125,712.220875,292.511344,572.635313,385.103781,202.914469,304.15775,337.556969,397.846844
291,453.36,67.9,155.2,394.04,97,172.326766,286.008813,105.507156,211.665688,154.963234,75.4920625,121.967719,133.764375,148.760563
39.38,45.48,5.03,15.32,55.39,8.46,158.475938,263.895188,96.4409531,194.594328,142.67225,69.3007891,112.196898,123.26268,137.104656
31.65,37.45,4.42,12.22,44.77,4.51,288.769406,479.323906,168.745125,362.303656,252.881109,123.905297,191.754094,228.034109,254.299906
20.27,24.68,3.2,8.28,29.85,3.41,166.792578,313.091563,93.3672031,235.301047,147.660328,76.2882656,99.6352734,153.429641,167.517297
7.9,10.83,1.7,3.43,11.78,2.16,14.3774648,51.240043,12.5394551,31.4327129,16.6980723,8.7587793,12.0307627,23.8858223,23.6054746
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
